,Voltage Set,Current Set,Voltage Measured,Current Measured,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%),Upper Error Boundary,Lower Error Boundary,Condition ?
0,0.5,1,0.499698929,1,0.0003010709999999861,0.06021419999999722,0,0.0,0.15012499999999998,-0.15012499999999998,False
1,1.5,1,1.49871027,1,0.0012897300000001,0.08598200000000666,0,0.0,0.15037499999999998,-0.15037499999999998,False
2,2.5,1,2.49838673,1,0.00161327,0.0645308,0,0.0,0.15062499999999998,-0.15062499999999998,False
3,3.5,1,3.49877894,1,0.001221060000000218,0.0348874285714348,0,0.0,0.15087499999999998,-0.15087499999999998,False
4,4.5,1,4.4986207,1,0.0013792999999999722,0.030651111111110494,0,0.0,0.15112499999999998,-0.15112499999999998,False
5,5.5,1,5.49873932,1,0.001260679999999681,0.022921454545448746,0,0.0,0.15137499999999998,-0.15137499999999998,False
6,0.5,2,0.499347486,2,0.0006525139999999929,0.1305027999999986,0,0.0,0.15012499999999998,-0.15012499999999998,False
7,1.5,2,1.49861593,2,0.0013840700000000705,0.09227133333333803,0,0.0,0.15037499999999998,-0.15037499999999998,False
8,2.5,2,2.498049,2,0.001951000000000036,0.07804000000000144,0,0.0,0.15062499999999998,-0.15062499999999998,False
9,3.5,2,3.498242,2,0.0017580000000001483,0.05022857142857566,0,0.0,0.15087499999999998,-0.15087499999999998,False
10,4.5,2,4.49799744,2,0.0020025600000002086,0.044501333333337965,0,0.0,0.15112499999999998,-0.15112499999999998,False
11,5.5,2,5.49830401,2,0.0016959899999999806,0.030836181818181468,0,0.0,0.15137499999999998,-0.15137499999999998,False
