,Unnamed: 0,Voltage Set,Current Set,Voltage Measured,Current Measured,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%),Upper Error BoundaryVoltage,Lower Error BoundaryVoltage,Condition ?
0,0,0.5,3.5,0.498528708,3.5,0.001471292,0.2942584000000026,0.0,0.0,0.150175,-0.150175,False
1,1,1.5,3.5,1.4981505,3.5,0.0018495,0.1233000000000039,0.0,0.0,0.150525,-0.150525,False
2,2,2.5,3.5,2.4981815,3.5,0.0018185000000001,0.0727400000000066,0.0,0.0,0.15087499999999998,-0.15087499999999998,True
3,3,0.5,3.0,0.498741618,3.0,0.001258382,0.2516764000000004,0.0,0.0,0.150175,-0.150175,False
4,4,1.5,3.0,1.49854324,3.0,0.0014567599999999,0.0971173333333297,0.0,0.0,0.150525,-0.150525,False
5,5,2.5,3.0,2.49849795,3.0,0.00150205,0.0600820000000012,0.0,0.0,0.15087499999999998,-0.15087499999999998,True
6,6,0.5,2.5,0.498987937,2.5,0.001012063,0.2024126000000015,0.0,0.0,0.150175,-0.150175,False
7,7,1.5,2.5,1.49885209,2.5,0.00114791,0.0765273333333353,0.0,0.0,0.150525,-0.150525,True
8,8,2.5,2.5,2.49864483,2.5,0.00135517,0.0542068000000028,0.0,0.0,0.15087499999999998,-0.15087499999999998,True
9,9,0.5,2.0,0.499278259,2.0,0.0007217409999999,0.1443481999999996,0.0,0.0,0.150175,-0.150175,False
10,10,1.5,2.0,1.49908586,2.0,0.0009141399999998,0.0609426666666597,0.0,0.0,0.150525,-0.150525,True
11,11,2.5,2.0,2.49892836,2.0,0.0010716400000001,0.042865600000006,0.0,0.0,0.15087499999999998,-0.15087499999999998,True
12,12,0.5,1.5,0.499528067,1.5,0.0004719329999999,0.0943865999999959,0.0,0.0,0.150175,-0.150175,False
13,13,1.5,1.5,1.49934109,1.5,0.00065891,0.0439273333333378,0.0,0.0,0.150525,-0.150525,True
14,14,2.5,1.5,2.49917458,1.5,0.0008254199999999,0.0330167999999986,0.0,0.0,0.15087499999999998,-0.15087499999999998,True
15,15,0.5,1.0,0.499801328,1.0,0.000198672,0.0397344000000021,0.0,0.0,0.150175,-0.150175,True
16,16,1.5,1.0,1.4996593,1.0,0.0003406999999999,0.0227133333333314,0.0,0.0,0.150525,-0.150525,True
17,17,2.5,1.0,2.49943675,1.0,0.0005632499999999,0.0225299999999961,0.0,0.0,0.15087499999999998,-0.15087499999999998,True
18,18,0.5,0.5,0.500093745,0.5,-9.374500000003394e-05,-0.0187490000000067,0.0,0.0,0.150175,-0.150175,True
19,19,1.5,0.5,1.49991791,0.5,8.209000000003464e-05,0.0054726666666689,0.0,0.0,0.150525,-0.150525,True
20,20,2.5,0.5,2.49983872,0.5,0.0001612799999999,0.0064511999999972,0.0,0.0,0.15087499999999998,-0.15087499999999998,True
