,Voltage Set,Current Set,Power Set,Power Measured,Voltage Measured,Current Measured,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%)
0,0.5,0.99,0.495,0.49479048333000003,0.499788367,0.99,0.00021163299999998886,0.04232659999999777,0.0,0.0
1,1.0,0.99,0.99,0.98943274881,0.999427019,0.99,0.0005729810000000279,0.057298100000002794,0.0,0.0
2,1.5,0.99,1.4849999999999999,1.4839995159000001,1.49898941,0.99,0.0010105899999999224,0.0673726666666615,0.0,0.0
3,2.0,0.99,1.98,1.9784700144,1.99845456,0.99,0.001545439999999898,0.0772719999999949,0.0,0.0
4,2.5,0.99,2.475,2.473609842,2.4985958,0.99,0.0014042000000000776,0.056168000000003104,0.0,0.0
5,3.0,0.99,2.9699999999999998,2.9683260288,2.99830912,0.99,0.0016908799999999502,0.05636266666666501,0.0,0.0
6,3.5,0.99,3.465,3.4628974578,3.49787622,0.99,0.0021237799999997975,0.06067942857142279,0.0,0.0
7,4.0,0.99,3.96,3.958387191,3.9983709,0.99,0.001629100000000161,0.040727500000004024,0.0,0.0
8,4.5,0.99,4.455,4.452773391,4.4977509,0.99,0.002249100000000226,0.04998000000000502,0.0,0.0
9,5.0,0.99,4.95,4.9490199,4.99901,0.99,0.0009899999999998244,0.019799999999996487,0.0,0.0
10,5.5,0.99,5.445,5.4434754297,5.49846003,0.99,0.001539969999999613,0.02799945454544751,0.0,0.0
11,6.0,0.99,5.9399999999999995,5.9383934973,5.99837727,0.99,0.0016227300000002387,0.02704550000000398,0.0,0.0
12,6.5,0.99,6.435,6.4334807559,6.49846541,0.99,0.0015345900000003354,0.023609076923082083,0.0,0.0
13,7.0,0.99,6.93,6.9287222763,6.99870937,0.99,0.0012906299999997373,0.018437571428567674,0.0,0.0
14,7.5,0.99,7.425,7.4234600352,7.49844448,0.99,0.0015555200000001435,0.020740266666668578,0.0,0.0
15,8.0,0.99,7.92,7.9180078922999995,7.99798777,0.99,0.0020122300000000592,0.02515287500000074,0.0,0.0
16,8.5,0.99,8.415,8.413097863499999,8.49807865,0.99,0.0019213499999999328,0.022604117647058032,0.0,0.0
17,9.0,0.99,8.91,8.908141403699998,8.99812263,0.99,0.0018773700000007665,0.020859666666675183,0.0,0.0
18,9.5,0.99,9.405,9.4027950126,9.49777274,0.99,0.002227259999999731,0.023444842105260325,0.0,0.0
19,10.0,0.99,9.9,9.898625642399999,9.99861176,0.99,0.0013882400000007067,0.013882400000007067,0.0,0.0
20,0.5,1.2375,0.61875,0.618479103825,0.499781094,1.2375,0.0002189060000000187,0.04378120000000374,0.0,0.0
21,1.0,1.2375,1.2375,1.2364520342625,0.999153159,1.2375,0.0008468409999999871,0.08468409999999871,0.0,0.0
22,1.5,1.2375,1.8562500000000002,1.8539129565,1.49811148,1.2375,0.0018885200000000602,0.12590133333333736,0.0,0.0
23,2.0,1.2375,2.475,2.473482490875,1.99877373,1.2375,0.0012262700000000848,0.06131350000000424,0.0,0.0
24,2.5,1.2375,3.09375,3.0915631147500005,2.49823282,1.2375,0.0017671799999998683,0.07068719999999473,0.0,0.0
25,3.0,1.2375,3.7125000000000004,3.7107418095000004,2.99857924,1.2375,0.0014207599999997989,0.04735866666665996,0.0,0.0
26,3.5,1.2375,4.33125,4.3287809895,3.49800484,1.2375,0.001995159999999885,0.05700457142856814,0.0,0.0
27,4.0,1.2375,4.95,4.948291458000001,3.99861936,1.2375,0.001380639999999822,0.03451599999999555,0.0,0.0
28,4.5,1.2375,5.5687500000000005,5.566823645625,4.49844335,1.2375,0.0015566500000003813,0.0345922222222307,0.0,0.0
29,5.0,1.2375,6.1875,6.1852898002500005,4.99821398,1.2375,0.0017860199999999438,0.035720399999998875,0.0,0.0
30,5.5,1.2375,6.80625,6.80497975575,5.49897354,1.2375,0.0010264600000002844,0.01866290909091426,0.0,0.0
31,6.0,1.2375,7.425000000000001,7.423067161125001,5.99843811,1.2375,0.0015618899999996216,0.026031499999993695,0.0,0.0
32,6.5,1.2375,8.043750000000001,8.04252643425,6.49901126,1.2375,0.0009887400000003765,0.015211384615390408,0.0,0.0
33,7.0,1.2375,8.6625,8.660701677375,6.99854681,1.2375,0.0014531900000003262,0.020759857142861802,0.0,0.0
34,7.5,1.2375,9.28125,9.27987501375,7.4988889,1.2375,0.0011111000000001425,0.014814666666668568,0.0,0.0
35,8.0,1.2375,9.9,9.897974274375,7.99836305,1.2375,0.0016369499999999704,0.02046187499999963,0.0,0.0
36,8.5,1.2375,10.51875,10.517059364625,8.49863383,1.2375,0.0013661700000007215,0.016072588235302606,0.0,0.0
37,9.0,1.2375,11.137500000000001,11.13469768125,8.9977355,1.2375,0.0022645000000007798,0.025161111111119776,0.0,0.0
38,9.5,1.2375,11.75625,11.754180590625,9.49832775,1.2375,0.0016722500000003748,0.017602631578951315,0.0,0.0
39,10.0,1.2375,12.375,12.373678337625002,9.99893199,1.2375,0.00106800999999912,0.0106800999999912,0.0,0.0
40,0.5,1.485,0.7425,0.74198477331,0.499653046,1.485,0.0003469540000000104,0.06939080000000208,0.0,0.0
41,1.0,1.485,1.485,1.483607439765,0.999062249,1.485,0.0009377510000000422,0.09377510000000422,0.0,0.0
42,1.5,1.485,2.2275,2.22565386285,1.49875681,1.485,0.0012431900000000606,0.08287933333333738,0.0,0.0
43,2.0,1.485,2.97,2.9681111245500005,1.99872803,1.485,0.0012719699999999001,0.063598499999995,0.0,0.0
44,2.5,1.485,3.7125000000000004,3.709127268,2.4977288,1.485,0.0022712000000000288,0.09084800000000115,0.0,0.0
45,3.0,1.485,4.455,4.45238873145,2.99824157,1.485,0.0017584300000001996,0.058614333333339985,0.0,0.0
46,3.5,1.485,5.197500000000001,5.194998769950001,3.49831567,1.485,0.0016843299999997896,0.048123714285708274,0.0,0.0
47,4.0,1.485,5.94,5.9373327618000005,3.99820388,1.485,0.0017961199999998456,0.04490299999999614,0.0,0.0
48,4.5,1.485,6.6825,6.680423866050001,4.49860193,1.485,0.001398069999999585,0.031068222222212998,0.0,0.0
49,5.0,1.485,7.425000000000001,7.42187040705,4.99789253,1.485,0.0021074700000003332,0.042149400000006665,0.0,0.0
50,5.5,1.485,8.1675,8.1655251282,5.49867012,1.485,0.0013298800000001165,0.02417963636363848,0.0,0.0
51,6.0,1.485,8.91,8.90632449135,5.99752491,1.485,0.002475089999999902,0.04125149999999837,0.0,0.0
52,6.5,1.485,9.6525,9.64999419615,6.49831259,1.485,0.0016874099999997227,0.02596015384614958,0.0,0.0
53,7.0,1.485,10.395000000000001,10.392279970050001,6.99816833,1.485,0.0018316699999996189,0.02616671428570884,0.0,0.0
54,7.5,1.485,11.137500000000001,11.13470479935,7.49811771,1.485,0.0018822900000001752,0.02509720000000234,0.0,0.0
55,8.0,1.485,11.88,11.8764258723,7.99759318,1.485,0.0024068200000000317,0.030085250000000396,0.0,0.0
56,8.5,1.485,12.6225,12.6197678079,8.49816014,1.485,0.0018398600000004706,0.02164541176471142,0.0,0.0
57,9.0,1.485,13.365,13.3608583053,8.99721098,1.485,0.002789019999999809,0.030989111111108986,0.0,0.0
58,9.5,1.485,14.107500000000002,14.104607754600002,9.49805236,1.485,0.00194763999999914,0.020501473684201472,0.0,0.0
59,10.0,1.485,14.850000000000001,14.8468094775,9.9978515,1.485,0.0021485000000005527,0.021485000000005527,0.0,0.0
60,0.5,1.7325,0.86625,0.86532887826,0.499468328,1.7325,0.000531671999999983,0.10633439999999661,0.0,0.0
61,1.0,1.7325,1.7325,1.7307144803024999,0.998969397,1.7325,0.0010306030000000188,0.10306030000000188,0.0,0.0
62,1.5,1.7325,2.59875,2.596295549925,1.49858329,1.7325,0.0014167099999999877,0.09444733333333252,0.0,0.0
63,2.0,1.7325,3.465,3.463315646175,1.99902779,1.7325,0.0009722100000000289,0.048610500000001444,0.0,0.0
64,2.5,1.7325,4.33125,4.32818198505,2.49822914,1.7325,0.0017708600000001518,0.07083440000000607,0.0,0.0
65,3.0,1.7325,5.1975,5.1948906817500005,2.9984939,1.7325,0.0015060999999998437,0.050203333333328125,0.0,0.0
66,3.5,1.7325,6.06375,6.060387546675,3.49805919,1.7325,0.001940809999999793,0.05545171428570837,0.0,0.0
67,4.0,1.7325,6.93,6.9272387934749995,3.99840623,1.7325,0.0015937699999999388,0.03984424999999847,0.0,0.0
68,4.5,1.7325,7.79625,7.792506015524999,4.49783897,1.7325,0.002161029999999897,0.0480228888888866,0.0,0.0
69,5.0,1.7325,8.6625,8.6598621648,4.99847744,1.7325,0.0015225599999997286,0.030451199999994575,0.0,0.0
70,5.5,1.7325,9.528749999999999,9.526675954949999,5.49880286,1.7325,0.001197140000000374,0.02176618181818862,0.0,0.0
71,6.0,1.7325,10.395,10.39148998965,5.99797402,1.7325,0.002025979999999983,0.03376633333333305,0.0,0.0
72,6.5,1.7325,11.26125,11.258803554075,6.49858791,1.7325,0.001412089999999644,0.021724461538456058,0.0,0.0
73,7.0,1.7325,12.1275,12.124958127975,6.99853283,1.7325,0.00146716999999974,0.020959571428567716,0.0,0.0
74,7.5,1.7325,12.993749999999999,12.991120688699999,7.49848236,1.7325,0.0015176400000003198,0.020235200000004266,0.0,0.0
75,8.0,1.7325,13.86,13.855930513425,7.99765109,1.7325,0.0023489100000002594,0.029361375000003243,0.0,0.0
76,8.5,1.7325,14.72625,14.723226025199999,8.49825456,1.7325,0.0017454400000005421,0.020534588235300497,0.0,0.0
77,9.0,1.7325,15.5925,15.587918958149999,8.99735582,1.7325,0.002644180000000773,0.02937977777778637,0.0,0.0
78,9.5,1.7325,16.45875,16.455268177425,9.49799029,1.7325,0.0020097099999993873,0.021154842105256706,0.0,0.0
79,10.0,1.7325,17.325,17.32195748745,9.99824386,1.7325,0.001756139999999462,0.01756139999999462,0.0,0.0
80,0.5,1.98,0.99,0.9887515803,0.499369485,1.98,0.0006305149999999982,0.12610299999999963,0.0,0.0
